,XLI 3/20/15 P56,,XLI 4/17/15 P55,,XLI 5/15/15 P58,,XLI 6/19/15 P55,,XLI 7/17/15 P56,,XLI 8/21/15 P56,,XLI 9/18/15 P54,,XLI 10/16/15 P53,,XLI 11/20/15 P49,,XLI 12/18/15 P49,,XLI 1/15/16 P54,,XLI 2/19/16 P55,,XLI 3/18/16 P52,,XLI 4/15/16 P49,,XLI 5/20/16 P53,,XLI 6/17/16 P55,,XLI 7/15/16 P56,,XLI 8/19/16 P55,,XLI 9/16/16 P56,,XLI 10/21/16 P57,,XLI 11/18/16 P58,,XLI 12/16/16 P58,,XLI 1/20/17 P56,,XLI 2/17/17 P62,,XLI 3/17/17 P62,,XLI 4/21/17 P63,,XLI 5/19/17 P66,,XLI 6/16/17 P64,,XLI 7/21/17 P66,,XLI 8/18/17 P67,,XLI 9/15/17 P68,,XLI 10/20/17 P68,,XLI 11/17/17 P68,,XLI 12/15/17 P71,,XLI 1/19/18 P71,,XLI 2/16/18 P73,,XLI 3/16/18 P76,,XLI 4/20/18 P79,,XLI 5/18/18 P75,,XLI 6/15/18 P72,,XLI 7/20/18 P71,,XLI 8/17/18 P75,,XLI 9/21/18 P71,,XLI 10/19/18 P75,,XLI 11/16/18 P77,,XLI 12/21/18 P79,,XLI 1/18/19 P71,,XLI 2/15/19 P73,,XLI 3/15/19 P64,,XLI 4/18/19 P71,,XLI 5/17/19 P76,,XLI 6/21/19 P76,,XLI 7/19/19 P77,,XLI 8/16/19 P72,,XLI 9/20/19 P77,,XLI 10/18/19 P76,,XLI 11/15/19 P74,,XLI 12/20/19 P75,,XLI 1/17/20 P80,,XLI 2/21/20 P80,,XLI 3/20/20 P83,,XLI 4/17/20 P81,,XLI 5/15/20 P75,,XLI 6/19/20 P56,,XLI 7/17/20 P62,,XLI 8/21/20 P67,,XLI 9/18/20 P68,,XLI 10/16/20 P72,
0,1/2/2015,1.73,2/24/2015,0.44,3/23/2015,1.89,4/1/2015,1.7,5/20/2015,1,6/23/2015,1.18,7/1/2015,1.53,9/3/2015,2.7,9/21/2015,0.96,10/2/2015,1.85,11/2/2015,1.28,12/24/2015,2.15,1/4/2016,1.78,2/23/2016,0.77,3/23/2016,0.63,4/1/2016,1.39,5/25/2016,1.33,6/23/2016,0.92,7/1/2016,1.55,8/1/2016,1.37,9/19/2016,1.84,10/3/2016,1.51,11/1/2016,1.61,12/19/2016,1.05,1/3/2017,1.61,2/21/2017,0.43,3/20/2017,1.47,4/3/2017,1.34,5/22/2017,1.15,7/12/2017,0.41,7/12/2017,1.01,8/22/2017,1.4,9/18/2017,0.61,10/6/2017,1.07,11/1/2017,1.45,12/18/2017,0.68,1/2/2018,1.57,2/21/2018,2.67,3/20/2018,1.5,4/2/2018,2.56,5/1/2018,2.41,6/5/2018,1.85,7/2/2018,2,8/1/2018,1.71,9/4/2018,2.1,10/3/2018,1.71,11/1/2018,2.49,12/24/2018,11.28,1/2/2019,2.55,2/1/2019,1.99,3/1/2019,1.99,4/1/2019,1.89,5/1/2019,1.59,6/24/2019,0.61,7/1/2019,2.15,8/21/2019,2.66,9/24/2019,1.16,10/1/2019,2.35,11/1/2019,2.2,12/31/2019,1.22,1/2/2020,2.1,2/24/2020,2.6,4/20/2020,12.82,4/1/2020,5.35,5/18/2020,2.75,6/11/2020,4.15,7/6/2020,3.15,8/24/2020,1.21
,1/5/2015,2.3,2/25/2015,0.46,3/30/2015,2.14,4/2/2015,1.49,5/21/2015,0.86,6/24/2015,1.34,7/2/2015,1.67,9/4/2015,3.25,9/23/2015,1.13,10/6/2015,0.92,11/3/2015,1.28,12/28/2015,2.12,1/6/2016,1.95,2/24/2016,0.94,3/24/2016,0.82,4/5/2016,1.78,5/26/2016,1.33,6/24/2016,1.44,7/5/2016,1.87,8/2/2016,1.54,9/20/2016,1.83,10/5/2016,1.44,11/2/2016,1.65,12/20/2016,0.96,1/4/2017,1.35,2/22/2017,0.48,3/22/2017,2.18,4/5/2017,1.33,5/24/2017,0.92,7/13/2017,0.37,7/13/2017,1.03,8/23/2017,1.66,9/19/2017,0.57,10/10/2017,1.08,11/2/2017,1.32,12/19/2017,0.65,1/3/2018,1.38,2/22/2018,3.15,3/21/2018,1.26,4/4/2018,1.69,5/2/2018,2.09,6/6/2018,1.47,7/3/2018,1.91,8/2/2018,1.81,9/5/2018,1.81,10/4/2018,1.96,11/2/2018,2.58,1/8/2019,6.52,1/3/2019,3.05,2/4/2019,1.58,3/4/2019,2.16,4/3/2019,1.84,5/2/2019,2.05,6/25/2019,0.73,7/2/2019,2,8/22/2019,2.59,9/26/2019,0.95,10/2/2019,3.22,11/4/2019,1.78,1/2/2020,0.77,1/3/2020,2.31,2/25/2020,4.6,4/30/2020,10.9,4/2/2020,4.85,5/19/2020,2.82,6/12/2020,4.35,7/8/2020,3.66,8/25/2020,1.11
,1/6/2015,2.53,2/26/2015,0.53,4/28/2015,1.77,4/6/2015,1.36,5/26/2015,1.21,6/25/2015,1.4,7/6/2015,1.71,9/15/2015,1.88,9/24/2015,1.44,10/7/2015,0.83,11/4/2015,1.29,1/7/2016,4.27,1/11/2016,3.22,2/25/2016,0.72,3/28/2016,0.68,4/6/2016,1.9,5/27/2016,1.28,6/27/2016,2.5,7/6/2016,1.85,8/3/2016,1.46,9/21/2016,1.6,10/10/2016,1.77,11/3/2016,1.69,12/21/2016,0.91,1/5/2017,1.41,2/23/2017,0.58,3/23/2017,1.86,4/6/2017,1.12,5/25/2017,0.87,7/14/2017,0.28,7/14/2017,0.94,8/24/2017,1.81,9/20/2017,0.48,10/11/2017,1.07,11/3/2017,1.26,12/20/2017,0.61,1/4/2018,1.08,2/23/2018,2.78,3/22/2018,2.47,4/5/2018,1.4,5/3/2018,2,6/7/2018,1.45,7/5/2018,2.05,8/3/2018,1.67,9/6/2018,1.68,10/5/2018,2.07,11/5/2018,2.37,1/14/2019,5.36,1/7/2019,1.95,2/5/2019,1.41,3/5/2019,2.2,4/4/2019,1.79,5/7/2019,2.56,6/26/2019,0.69,7/9/2019,2.33,8/26/2019,3.8,9/27/2019,1.04,10/3/2019,2.87,11/5/2019,1.64,1/3/2020,0.88,1/6/2020,2.41,2/26/2020,4.8,,,4/3/2020,5,5/20/2020,2.76,6/17/2020,3.05,7/10/2020,3.9,8/26/2020,1.03
,1/8/2015,1.76,2/27/2015,0.52,,,4/7/2015,1.41,5/27/2015,0.99,6/29/2015,2.02,7/7/2015,1.52,9/21/2015,2.1,9/28/2015,1.8,10/13/2015,0.51,11/5/2015,1.35,2/19/2016,3.67,1/12/2016,2.89,3/1/2016,0.52,3/29/2016,0.65,4/7/2016,1.72,5/31/2016,1.26,6/28/2016,2.16,7/7/2016,1.62,8/4/2016,1.36,9/22/2016,1.17,10/11/2016,2.15,11/7/2016,1.14,12/22/2016,0.97,1/6/2017,1.18,2/24/2017,0.51,3/24/2017,1.9,4/7/2017,1.15,5/26/2017,0.76,7/17/2017,0.27,7/17/2017,0.85,8/25/2017,1.58,9/25/2017,0.46,10/12/2017,0.88,11/6/2017,1.17,12/22/2017,0.56,1/5/2018,1.05,2/26/2018,1.95,3/23/2018,2.98,4/6/2018,2.07,5/4/2018,1.86,6/8/2018,1.41,7/6/2018,1.59,8/6/2018,1.58,9/7/2018,1.81,10/8/2018,2.33,11/6/2018,2.12,1/30/2019,1.99,1/8/2019,1.69,2/7/2019,1.34,3/6/2019,2.59,4/8/2019,1.84,5/15/2019,3.5,6/27/2019,0.65,7/10/2019,2.22,8/27/2019,3.85,9/30/2019,0.9,10/4/2019,2.4,11/6/2019,1.7,1/6/2020,0.79,1/7/2020,2.17,2/27/2020,5.5,,,4/6/2020,3.4,5/21/2020,2.53,6/18/2020,3.2,7/13/2020,3.53,8/27/2020,1.1
,1/9/2015,1.92,3/3/2015,0.51,,,4/8/2015,1.32,5/28/2015,1.16,7/1/2015,2.28,7/9/2015,1.79,9/22/2015,2.71,9/29/2015,1.71,10/14/2015,0.7,11/6/2015,1.37,,,1/15/2016,4,3/10/2016,0.28,3/30/2016,0.48,4/8/2016,1.65,6/1/2016,1.27,6/29/2016,1.37,7/8/2016,1.07,8/5/2016,1.06,9/23/2016,1.3,10/12/2016,1.99,11/8/2016,0.98,12/23/2016,0.95,1/9/2017,1.24,2/27/2017,0.46,3/28/2017,1.71,4/10/2017,1.17,5/30/2017,0.77,7/18/2017,0.28,7/18/2017,0.91,8/28/2017,1.64,9/27/2017,0.36,10/13/2017,0.93,11/7/2017,1.19,12/27/2017,0.46,1/8/2018,0.85,2/27/2018,2.13,3/26/2018,2.31,4/9/2018,2.23,5/7/2018,1.47,6/11/2018,1.2,7/10/2018,1.11,8/7/2018,1.3,9/11/2018,1.55,10/9/2018,2.48,11/7/2018,1.45,1/31/2019,1.83,1/9/2019,1.31,2/11/2019,1.28,3/7/2019,3.25,4/10/2019,2.19,5/16/2019,2.65,6/28/2019,0.56,7/11/2019,2.21,8/28/2019,3.4,10/1/2019,1.34,10/7/2019,2.31,11/7/2019,1.51,1/7/2020,0.74,1/8/2020,2.05,2/28/2020,9.8,,,4/7/2020,2.88,5/22/2020,2.67,6/19/2020,2.72,7/14/2020,3.56,8/28/2020,0.95
,1/12/2015,2.3,3/4/2015,0.61,,,4/9/2015,1.15,5/29/2015,1.39,7/7/2015,2.56,7/10/2015,1.52,9/24/2015,3.3,10/1/2015,1.35,10/15/2015,0.61,11/9/2015,1.66,,,1/22/2016,4.04,3/16/2016,0.15,3/31/2016,0.49,4/11/2016,1.53,6/2/2016,1.22,6/30/2016,0.94,7/11/2016,0.98,8/8/2016,1.04,9/26/2016,1.48,10/13/2016,2.03,11/9/2016,0.65,12/27/2016,0.93,1/10/2017,1.19,2/28/2017,0.52,3/29/2017,1.68,4/11/2017,1.34,5/31/2017,0.84,7/19/2017,0.25,7/20/2017,0.98,8/29/2017,1.65,9/28/2017,0.35,10/16/2017,0.93,11/8/2017,1.18,12/28/2017,0.41,1/9/2018,0.72,3/1/2018,3.45,3/27/2018,2.85,4/10/2018,1.78,5/8/2018,1.36,6/12/2018,1.21,7/11/2018,1.42,8/8/2018,1.35,9/13/2018,1.24,10/10/2018,4,11/9/2018,1.9,2/1/2019,1.54,1/10/2019,1.17,2/12/2019,0.92,3/8/2019,3.33,4/11/2019,1.94,5/21/2019,2.9,7/1/2019,0.41,7/12/2019,1.38,8/29/2019,2.39,10/2/2019,2.05,10/9/2019,2.9,11/11/2019,1.4,1/8/2020,0.63,1/9/2020,1.86,3/2/2020,6.65,,,4/9/2020,2.06,5/26/2020,1.53,6/22/2020,3.36,7/15/2020,2.39,8/31/2020,1.09
,1/13/2015,2.54,3/5/2015,0.56,,,4/10/2015,0.86,6/1/2015,1.17,7/8/2015,2.5,7/13/2015,1.2,9/28/2015,4,10/2/2015,1.38,10/16/2015,0.6,11/10/2015,1.64,,,1/26/2016,3.74,3/17/2016,0.07,4/1/2016,0.5,4/13/2016,1.1,6/3/2016,1.11,7/5/2016,1.02,7/12/2016,0.82,8/10/2016,1.05,9/27/2016,1.25,10/14/2016,1.89,11/10/2016,0.48,12/28/2016,1.07,1/11/2017,1.02,3/1/2017,0.32,3/30/2017,1.44,4/12/2017,1.41,6/1/2017,0.56,7/20/2017,0.28,7/21/2017,1.13,8/30/2017,1.21,9/29/2017,0.29,10/17/2017,0.91,11/9/2017,1.4,1/2/2018,0.35,1/10/2018,0.75,3/2/2018,4.74,3/28/2018,2.99,4/11/2018,1.95,5/9/2018,1.03,6/13/2018,1.37,7/12/2018,1.16,8/9/2018,1.43,9/17/2018,1.03,10/11/2018,5.8,11/12/2018,2.4,2/4/2019,0.89,1/11/2019,1.09,2/13/2019,0.82,3/11/2019,2.53,4/12/2019,1.48,5/22/2019,3.1,7/2/2019,0.38,7/15/2019,1.48,8/30/2019,2.06,10/3/2019,1.77,10/11/2019,1.64,11/12/2019,1.35,1/9/2020,0.54,1/10/2020,2.05,3/3/2020,8.2,,,4/14/2020,2.2,5/27/2020,1.32,6/23/2020,2.78,7/17/2020,2.03,9/1/2020,1.03
,1/14/2015,2.53,3/6/2015,0.72,,,4/13/2015,0.96,6/2/2015,1.1,7/17/2015,1.45,7/17/2015,0.93,10/6/2015,1.36,10/5/2015,0.51,10/19/2015,0.48,11/11/2015,1.31,,,1/27/2016,3.7,3/18/2016,0.06,4/4/2016,0.49,4/15/2016,1.05,6/6/2016,0.9,7/6/2016,0.9,7/13/2016,0.79,8/11/2016,0.86,9/28/2016,1.09,10/17/2016,2.01,11/11/2016,0.5,12/29/2016,1.13,1/12/2017,1.12,3/2/2017,0.4,3/31/2017,1.43,4/13/2017,1.54,6/2/2017,0.47,7/21/2017,0.3,7/24/2017,1.02,8/31/2017,1.09,10/2/2017,0.27,10/18/2017,0.84,11/10/2017,1.73,1/3/2018,0.3,1/11/2018,0.56,3/5/2018,3.88,4/2/2018,2.83,4/12/2018,1.38,5/10/2018,0.87,6/14/2018,1.48,7/13/2018,0.99,8/10/2018,1.8,9/19/2018,0.85,10/16/2018,4.42,11/13/2018,2.05,2/5/2019,0.54,1/14/2019,0.99,2/14/2019,0.86,3/14/2019,2.52,4/15/2019,1.55,5/23/2019,4.05,7/3/2019,0.35,7/16/2019,1.25,9/5/2019,1.4,10/4/2019,1.36,10/14/2019,1.59,11/13/2019,1.51,1/10/2020,0.63,1/13/2020,1.7,3/6/2020,10.8,,,4/17/2020,2.13,5/28/2020,1.4,6/24/2020,3.96,7/20/2020,2.02,9/2/2020,0.85
,1/15/2015,2.64,3/10/2015,0.82,,,4/14/2015,1,6/3/2015,0.99,7/20/2015,1.36,7/20/2015,0.92,10/8/2015,0.4,10/6/2015,0.54,10/20/2015,0.41,11/12/2015,1.78,,,2/3/2016,3.16,3/21/2016,0.07,4/5/2016,0.65,4/18/2016,0.94,6/7/2016,0.76,7/7/2016,0.9,7/14/2016,0.67,8/12/2016,0.9,9/29/2016,1.35,10/18/2016,1.95,11/14/2016,0.44,12/30/2016,1.28,1/13/2017,0.99,3/3/2017,0.39,4/3/2017,1.69,4/17/2017,1.39,6/5/2017,0.52,7/24/2017,0.31,7/25/2017,0.99,9/1/2017,0.94,10/3/2017,0.18,10/19/2017,1.06,11/13/2017,1.65,1/4/2018,0.24,1/12/2018,0.48,3/6/2018,3.3,4/3/2018,2.67,4/13/2018,1.55,5/11/2018,0.82,6/15/2018,1.59,7/16/2018,1.05,8/13/2018,1.99,9/20/2018,0.78,10/23/2018,7.33,11/14/2018,2.25,2/6/2019,0.45,1/15/2019,0.96,2/15/2019,0.74,3/19/2019,2.21,4/16/2019,1.3,5/30/2019,4.55,7/5/2019,0.39,7/17/2019,1.87,9/6/2019,1.21,10/7/2019,1.28,10/15/2019,1.3,11/14/2019,1.45,1/13/2020,0.45,1/14/2020,1.47,3/9/2020,15.5,,,4/20/2020,2.3,5/29/2020,1.36,6/25/2020,4.23,7/21/2020,1.67,9/3/2020,1.4
,1/16/2015,2.73,3/11/2015,0.89,,,4/15/2015,0.94,6/4/2015,1.22,7/21/2015,1.74,7/21/2015,1.16,10/9/2015,0.3,10/7/2015,0.41,10/21/2015,0.4,11/13/2015,1.95,,,2/5/2016,2.84,3/22/2016,0.06,4/6/2016,0.68,4/19/2016,0.85,6/8/2016,0.67,7/8/2016,0.46,7/15/2016,0.65,8/16/2016,0.85,9/30/2016,1.03,10/19/2016,1.78,11/15/2016,0.33,1/3/2017,1.02,1/17/2017,1.17,3/6/2017,0.37,4/4/2017,1.55,4/18/2017,1.34,6/6/2017,0.64,7/25/2017,0.25,7/26/2017,0.94,9/5/2017,1.35,10/6/2017,0.17,10/20/2017,0.61,11/14/2017,1.71,1/8/2018,0.18,1/16/2018,0.65,3/7/2018,3.7,4/4/2018,2.26,4/16/2018,1.08,5/14/2018,0.77,6/18/2018,1.69,7/18/2018,0.74,8/14/2018,1.83,9/21/2018,0.68,10/29/2018,9.97,11/15/2018,1.94,2/7/2019,0.8,1/17/2019,0.7,2/19/2019,0.6,3/20/2019,3,4/17/2019,1.29,6/4/2019,3.7,7/8/2019,0.35,7/18/2019,2.09,9/9/2019,1.18,10/8/2019,1.88,10/16/2019,1.33,11/15/2019,1.21,1/14/2020,0.41,1/15/2020,1.68,3/10/2020,12.97,,,4/21/2020,2.92,6/2/2020,1.04,6/26/2020,4.06,7/22/2020,1.59,9/4/2020,1.65
